state,date,ch1,ch_type,geo,event
http://time-space-event.com/resource/Territory/New_Mexico_Territory,"""1854-08-04""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_New_Mexico_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/New_Mexico_Territory_2/Geometry/132,http://time-space-event.com/resource/event/state/id/117
http://time-space-event.com/resource/Territory/New_Mexico_Territory,"""1861-02-28""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_New_Mexico_Territory_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/New_Mexico_Territory_3/Geometry/133,http://time-space-event.com/resource/event/state/id/118
http://time-space-event.com/resource/Territory/New_Mexico_Territory,"""1863-02-24""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_New_Mexico_Territory_4,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/New_Mexico_Territory_4/Geometry/134,http://time-space-event.com/resource/event/state/id/119
http://time-space-event.com/resource/State/Nevada,"""1866-05-05""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Nevada_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Nevada_2/Geometry/136,http://time-space-event.com/resource/event/state/id/121
http://time-space-event.com/resource/Territory/Nevada_Territory,"""1862-07-14""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Nevada_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Nevada_Territory_2/Geometry/138,http://time-space-event.com/resource/event/state/id/123
http://time-space-event.com/resource/Territory/Northwest_Territory,"""1788-07-27""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Northwest_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Northwest_Territory_2/Geometry/140,http://time-space-event.com/resource/event/state/id/125
http://time-space-event.com/resource/Territory/Northwest_Territory,"""1796-08-15""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Northwest_Territory_3,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Northwest_Territory_3/Geometry/141,http://time-space-event.com/resource/event/state/id/126
http://time-space-event.com/resource/Territory/Northwest_Territory,"""1800-07-04""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Northwest_Territory_4,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Northwest_Territory_4/Geometry/142,http://time-space-event.com/resource/event/state/id/59
http://time-space-event.com/resource/State/New_York,"""1855-01-11""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_New_York_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/New_York_2/Geometry/144,http://time-space-event.com/resource/event/state/id/76
http://time-space-event.com/resource/Territory/Oklahoma_Territory,"""1893-08-19""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Oklahoma_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Oklahoma_Territory_2/Geometry/148,http://time-space-event.com/resource/event/state/id/65
http://time-space-event.com/resource/Territory/Oregon_Territory,"""1853-03-02""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Oregon_Territory_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/Territory/Oregon_Territory_2/Geometry/153,http://time-space-event.com/resource/event/state/id/132
http://time-space-event.com/resource/State/Pennsylvania,"""1792-03-03""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Pennsylvania_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Pennsylvania_2/Geometry/156,http://time-space-event.com/resource/event/state/id/134
http://time-space-event.com/resource/State/Rhode_Island,"""1862-03-01""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Rhode_Island_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Rhode_Island_2/Geometry/158,http://time-space-event.com/resource/event/state/id/135
http://time-space-event.com/resource/State/South_Dakota,"""1902-11-04""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_South_Dakota_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/South_Dakota_2/Geometry/161,http://time-space-event.com/resource/event/state/id/110
http://time-space-event.com/resource/State/Tennessee,"""1859-11-30""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Tennessee_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Tennessee_2/Geometry/164,http://time-space-event.com/resource/event/state/id/70
http://time-space-event.com/resource/State/Texas,"""1850-12-13""^^http://www.w3.org/2001/XMLSchema#date",http://time-space-event.com/resource/change_Texas_2,http://purl.org/net/tsnchange#Change,http://time-space-event.com/resource/State/Texas_2/Geometry/167,http://time-space-event.com/resource/event/state/id/141
